1485998627.82 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0546875, 'AI2': -1.0400390625} 
1485998627.87 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.025390625} 
1485998627.92 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.0400390625} 
1485998627.97 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998628.01 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.025390625, 'AI2': -1.025390625} 
1485998628.06 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998628.11 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.99609375} 
1485998628.16 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.015625} 
1485998628.21 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.9912109375} 
1485998628.25 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.015625, 'AI2': -1.005859375} 
1485998628.31 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0107421875} 
1485998628.36 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.005859375} 
1485998628.41 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.005859375} 
1485998628.45 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.0107421875} 
1485998628.5 {'AI5': 2.314453125, 'AI4': 4.7705078125, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998628.55 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -1.0107421875} 
1485998628.6 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.99609375} 
1485998628.65 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.015625, 'AI2': -1.015625} 
1485998628.69 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0009765625} 
1485998628.74 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -0.99609375} 
1485998628.79 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.015625} 
1485998628.84 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.03515625} 
1485998628.89 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -1.0302734375, 'AI2': -1.015625} 
1485998628.93 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.99609375} 
1485998628.98 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.015625} 
1485998629.03 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.9814453125} 
1485998629.08 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998629.13 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9814453125} 
1485998629.17 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.005859375} 
1485998629.22 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.015625} 
1485998629.27 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.0205078125} 
1485998629.32 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9814453125, 'AI2': -0.9765625} 
1485998629.37 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.0400390625, 'AI2': -1.025390625} 
1485998629.41 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.005859375} 
1485998629.46 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -0.9912109375} 
1485998629.51 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.99609375} 
1485998629.56 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998629.61 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -1.0107421875, 'AI2': -1.0107421875} 
1485998629.65 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.025390625} 
1485998629.7 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.0107421875} 
1485998629.75 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.005859375} 
1485998629.8 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9765625, 'AI2': -0.9765625} 
1485998629.85 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0107421875, 'AI2': -1.015625} 
1485998629.9 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -1.0009765625} 
1485998629.94 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998629.99 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.99609375} 
1485998630.04 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -0.966796875, 'AI2': -0.9521484375} 
1485998630.09 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.0009765625} 
1485998630.13 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -0.9912109375, 'AI2': -0.9912109375} 
1485998630.18 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.0009765625} 
1485998630.23 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.015625} 
1485998630.28 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.986328125, 'AI2': -0.9814453125} 
1485998630.33 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0009765625, 'AI2': -0.9814453125} 
1485998630.37 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -0.966796875, 'AI2': -0.966796875} 
1485998630.42 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0205078125, 'AI2': -1.0205078125} 
