1485999602.603318 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3466796875, 'AI2': 0.3369140625} 
1485999602.651240 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999602.699230 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.3271484375} 
1485999602.747683 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.283203125} 
1485999602.795727 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.33203125} 
1485999602.843658 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3466796875, 'AI2': 0.3271484375} 
1485999602.891437 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3369140625, 'AI2': 0.3271484375} 
1485999602.939397 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.322265625} 
1485999602.987432 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2392578125, 'AI2': 0.2392578125} 
1485999603.035481 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.25390625, 'AI2': 0.25390625} 
1485999603.083290 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.322265625, 'AI2': 0.3125} 
1485999603.131205 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.33203125, 'AI2': 0.3271484375} 
1485999603.179258 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.33203125, 'AI2': 0.322265625} 
1485999603.228257 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3369140625, 'AI2': 0.3369140625} 
1485999603.275522 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.283203125} 
1485999603.323288 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.2783203125} 
1485999603.371460 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.2880859375, 'AI2': 0.302734375} 
1485999603.419393 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3173828125, 'AI2': 0.322265625} 
1485999603.467270 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2734375, 'AI2': 0.283203125} 
1485999603.515487 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.3076171875, 'AI2': 0.302734375} 
1485999603.563465 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.2880859375} 
1485999603.611458 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2783203125} 
1485999603.659517 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2587890625, 'AI2': 0.2685546875} 
1485999603.707635 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.302734375} 
1485999603.755341 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.322265625, 'AI2': 0.3271484375} 
1485999603.803514 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.25390625} 
1485999603.851623 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2734375, 'AI2': 0.2783203125} 
1485999603.899291 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.3271484375} 
1485999603.947449 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2587890625, 'AI2': 0.2587890625} 
1485999603.995446 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.2880859375} 
1485999604.043421 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.322265625, 'AI2': 0.3173828125} 
1485999604.091374 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.25390625, 'AI2': 0.2587890625} 
1485999604.139957 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.283203125} 
1485999604.188506 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2880859375, 'AI2': 0.283203125} 
1485999604.235516 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2490234375, 'AI2': 0.2587890625} 
1485999604.283236 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.37109375, 'AI2': 0.3369140625} 
1485999604.331265 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.263671875, 'AI2': 0.2685546875} 
1485999604.379120 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3466796875, 'AI2': 0.3515625} 
1485999604.427420 {'AI5': 2.314453125, 'AI4': 4.775390625, 'AI0': 0.3271484375, 'AI2': 0.33203125} 
