1485999169.189082 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999169.237045 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.52734375, 'AI2': -0.5322265625} 
1485999169.284999 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.556640625} 
1485999169.333133 {'AI5': 2.3291015625, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.5615234375} 
1485999169.381554 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999169.429085 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.517578125} 
1485999169.477271 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999169.525097 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999169.573014 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5517578125} 
1485999169.621128 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999169.671527 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5322265625} 
1485999169.717028 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.576171875} 
1485999169.765307 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.517578125} 
1485999169.813479 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.537109375} 
1485999169.861143 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5419921875} 
1485999169.909366 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.5712890625} 
1485999169.957113 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.556640625} 
1485999170.005232 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5322265625, 'AI2': -0.52734375} 
1485999170.053197 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.556640625} 
1485999170.101100 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.517578125} 
1485999170.149058 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.546875} 
1485999170.197178 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999170.245058 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999170.293605 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999170.341193 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.556640625} 
